				Velocity Center-point Mean mm/s	Cruising Frequency	Cruising Cumulative Duration s	Bursting Frequency	Bursting Cumulative Duration s	Freezing  Frequency	Freezing  Cumulative Duration s	Turn angle Center-point / relative Mean deg	Meander Center-point / relative Mean deg/mm	Angular velocity Center-point / relative Mean deg/s	Distance moved Center-point Total mm
T2	Trial     8	D6	0:27:00-0:28:00	0.896093	6	0.48	0	0	8	59.44	-5.30153	-898.985	-132.538	53.6939
T2	Trial     8	D6	0:28:00-0:29:00	1.07436	23	1.12	0	0	23	58.88	-4.85076	-445.771	-121.269	64.4619
T2	Trial     8	D6	0:29:00-0:30:00	0.811125	0	0	0	0	1	60	2.17217	92.308	54.3042	48.6675
T2	Trial     8	D6	0:30:00-0:31:00	4.88863	89	13.08	0	0	90	46.84	-2.22429	-240.019	-55.6072	292.927
T2	Trial     8	D6	0:31:00-0:32:00	1.18005	13	1.44	0	0	14	58.56	2.37665	45.6274	59.4163	70.8027
T2	Trial     8	D6	0:32:00-0:33:00	0.940888	8	0.8	0	0	10	59.12	0.950069	14.7546	23.7517	56.378
T2	Trial     8	D6	0:33:00-0:34:00	1.60786	69	4.72	0	0	70	55.28	0.10693	462.421	2.67325	96.4717
T2	Trial     8	D6	0:34:00-0:35:00	1.18316	12	1.48	0	0	13	58.52	2.67798	116.743	66.9495	70.9894
T2	Trial     8	D6	0:35:00-0:36:00	2.05174	54	5.36	0	0	56	54.56	-1.07914	110.151	-26.9786	122.94
T2	Trial     8	D6	0:36:00-0:37:00	4.89249	130	16.6	0	0	130	43.4	-2.45292	-781.744	-61.323	293.549
T2	Trial     8	D6	0:37:00-0:38:00	5.91674	155	20.76	0	0	154	39.24	-1.78474	180.314	-44.6185	355.004
T2	Trial     8	D6	0:38:00-0:39:00	6.11254	145	20.4	0	0	144	39.52	-2.05543	-73.2382	-51.3857	366.263
T2	Trial     8	D6	0:39:00-0:40:00	6.3546	134	20.24	0	0	135	39.76	2.47275	40.5811	61.8188	381.276
T2	Trial     8	D6	0:40:00-0:41:00	2.88588	95	10.28	0	0	96	49.64	-1.10379	-185.221	-27.5948	172.922
T2	Trial     8	D6	0:41:00-0:42:00	1.00894	8	0.8	0	0	9	59.2	-1.14191	-131.568	-28.5478	60.5361
T2	Trial     8	D6	0:42:00-0:43:00	0.908155	1	0.04	0	0	2	59.96	-2.77836	-150.122	-69.4589	54.4893
T2	Trial     8	D6	0:43:00-0:44:00	0.7787	0	0	0	0	2	59.92	-5.77976	47.4278	-144.494	46.6597
T2	Trial     8	D6	0:44:00-0:45:00	0.763448	0	0	0	0	1	60	-2.03232	150.514	-50.808	45.8069
T2	Trial     8	D6	0:45:00-0:46:00	0.752326	0	0	0	0	1	60	-3.95764	-528.727	-98.9409	45.1395
T2	Trial     8	D6	0:46:00-0:47:00	0.867101	4	0.24	0	0	6	59.68	3.87592	-22.836	96.898	51.9567
T2	Trial     8	D6	0:47:00-0:48:00	1.12562	13	1.48	0	0	14	58.52	-1.18833	-274.03	-29.7082	67.5373
T2	Trial     8	D6	0:48:00-0:49:00	1.13493	17	1.28	0	0	19	58.64	-4.0221	114.533	-100.553	68.005
T2	Trial     8	D6	0:49:00-0:50:00	1.11496	21	1.24	0	0	22	58.76	-3.22244	-164.831	-80.561	66.8978
T2	Trial     9	C1	0:00:00-0:01:00	3.14694	116	10.36	0	0	117	49.4	-3.42448	-360.38	-85.6119	188.061
T2	Trial     9	C1	0:01:00-0:02:00	5.28944	128	16.6	0	0	129	43.4	2.30762	156.922	57.6905	317.367
T2	Trial     9	C1	0:02:00-0:03:00	6.95369	151	23.04	0	0	152	36.96	-1.44562	-62.7735	-36.1405	417.221
T2	Trial     9	C1	0:03:00-0:04:00	6.2699	152	21.6	0	0	154	38.32	1.14356	128.981	28.5891	375.692
T2	Trial     9	C1	0:04:00-0:05:00	5.62432	133	19.04	0	0	134	40.96	6.00251	130.182	150.063	337.459
T2	Trial     9	C1	0:05:00-0:06:00	6.81965	151	22.32	0	0	151	37.68	-1.5279	-121.555	-38.1974	409.179
T2	Trial     9	C1	0:06:00-0:07:00	7.78864	128	24.04	0	0	130	35.88	-0.835618	-87.9831	-20.8905	466.695
T2	Trial     9	C1	0:07:00-0:08:00	7.12977	152	22.88	0	0	151	37.12	-1.96421	8.56956	-49.1054	427.786
T2	Trial     9	C1	0:08:00-0:09:00	8.02663	151	25.64	0	0	151	34.28	1.67178	132.067	41.7944	480.955
T2	Trial     9	C1	0:09:00-0:10:00	6.74725	149	22.56	0	0	150	37.44	0.553158	-170.349	13.829	404.835
T2	Trial     9	C1	0:10:00-0:11:00	2.83303	106	8	0	0	107	52	-2.39714	-215.77	-59.9285	169.982
T2	Trial     9	C1	0:11:00-0:12:00	3.63659	142	11.84	0	0	143	48.08	-2.56128	-24.804	-64.032	217.904
T2	Trial     9	C1	0:12:00-0:13:00	1.68694	75	4.64	0	0	76	55.36	-0.460349	-365.514	-11.5087	101.216
T2	Trial     9	C1	0:13:00-0:14:00	1.20502	44	2.24	0	0	45	57.76	-1.03376	-270.322	-25.844	72.3013
T2	Trial     9	C1	0:14:00-0:15:00	1.53432	62	3.4	0	0	64	56.52	-3.98998	-302.472	-99.7496	91.9367
T2	Trial     9	C1	0:15:00-0:16:00	1.65954	63	3.6	0	0	64	56.4	-1.2358	-405.748	-30.8951	99.5727
T2	Trial     9	C1	0:16:00-0:17:00	1.38288	49	2.48	0	0	51	57.44	0.540414	84.6732	13.5103	82.8623
T2	Trial     9	C1	0:17:00-0:18:00	1.76181	90	4.96	0	0	90	55.04	3.04451	1084.07	76.1128	105.709
T2	Trial     9	C1	0:18:00-0:19:00	1.42534	43	1.8	0	0	44	58.2	-2.17519	-80.3625	-54.3797	85.5205
T2	Trial     9	C1	0:19:00-0:20:00	1.32724	48	2.44	0	0	50	57.48	4.8834	167.951	122.085	79.528
T2	Trial     9	C1	0:20:00-0:21:00	3.57087	105	10.84	0	0	106	49.16	0.0277257	264.121	0.693144	214.252
T2	Trial     9	C1	0:21:00-0:22:00	4.99404	129	15.36	0	0	130	44.64	-0.336285	51.1312	-8.40713	299.643
T2	Trial     9	C1	0:22:00-0:23:00	6.71887	160	22.12	0	0	161	37.8	1.07327	66.972	26.8317	402.595
T2	Trial     9	C1	0:23:00-0:24:00	7.09666	149	23.52	0	0	149	36.48	-0.338023	187.706	-8.45057	425.8
T2	Trial     9	C1	0:24:00-0:25:00	5.70011	144	19.84	0	0	143	40.08	-3.18629	70.0173	-79.6573	341.551
T2	Trial     9	C1	0:25:00-0:26:00	5.95964	146	20.04	0	0	146	39.96	0.144136	95.9068	3.60341	357.579
T2	Trial     9	C1	0:26:00-0:27:00	6.46184	145	21.64	0	0	145	38.36	0.0120397	426.691	0.300993	387.71
T2	Trial     9	C1	0:27:00-0:28:00	6.15037	140	20.24	0	0	142	39.68	-1.43914	164.042	-35.9786	368.53
T2	Trial     9	C1	0:28:00-0:29:00	6.0682	148	20.48	0	0	148	39.52	0.408282	-36.0314	10.207	364.092
T2	Trial     9	C1	0:29:00-0:30:00	7.24494	136	23.08	0	0	136	36.92	-1.66352	3.21166	-41.5881	434.696
T2	Trial     9	C1	0:30:00-0:31:00	3.38557	136	11.12	0	0	137	48.8	3.52017	385.084	88.0042	202.863
T2	Trial     9	C1	0:31:00-0:32:00	1.95297	84	5.36	0	0	84	54.64	8.63994	300.124	215.998	117.178
T2	Trial     9	C1	0:32:00-0:33:00	1.5885	62	3.2	0	0	64	56.72	1.70149	33.6965	42.5373	95.1831
T2	Trial     9	C1	0:33:00-0:34:00	1.77772	79	4.04	0	0	80	55.96	4.06177	-129.722	101.544	106.663
T2	Trial     9	C1	0:34:00-0:35:00	3.19976	132	10.08	0	0	133	49.92	-0.631437	-27.8974	-15.7859	191.985
T2	Trial     9	C1	0:35:00-0:36:00	3.42274	164	11.08	0	0	166	48.84	-4.6169	-264.739	-115.422	205.09
T2	Trial     9	C1	0:36:00-0:37:00	3.64106	142	11.56	0	0	142	48.44	-1.25191	417.509	-31.2978	218.464
T2	Trial     9	C1	0:37:00-0:38:00	2.35642	106	6.32	0	0	106	53.68	-1.47852	480.662	-36.9631	141.385
T2	Trial     9	C1	0:38:00-0:39:00	4.06432	168	13.2	0	0	169	46.72	-0.549812	55.5963	-13.7453	243.534
T2	Trial     9	C1	0:39:00-0:40:00	4.56076	171	15.12	0	0	170	44.88	-5.21143	-48.5133	-130.286	273.646
T2	Trial     9	C1	0:40:00-0:41:00	3.54683	114	11.12	0	0	115	48.8	-0.22231	112.334	-5.55774	212.526
T2	Trial     9	C1	0:41:00-0:42:00	5.60775	139	17.84	0	0	140	42.16	-0.98749	-191.9	-24.6872	336.465
T2	Trial     9	C1	0:42:00-0:43:00	5.62868	171	19.96	0	0	171	40.04	-1.10736	324.164	-27.6841	337.721
T2	Trial     9	C1	0:43:00-0:44:00	5.56655	143	19.92	0	0	144	40	-0.0301393	278.072	-0.753484	333.548
T2	Trial     9	C1	0:44:00-0:45:00	5.6248	152	19.28	0	0	152	40.72	1.94775	199.956	48.6938	337.488
T2	Trial     9	C1	0:45:00-0:46:00	6.1047	141	20.48	0	0	141	39.52	3.57863	234.802	89.4657	366.282
T2	Trial     9	C1	0:46:00-0:47:00	5.73788	157	20.04	0	0	156	39.88	1.02147	15.5207	25.5367	343.814
T2	Trial     9	C1	0:47:00-0:48:00	5.33414	155	17.32	0	0	155	42.68	1.16567	-145.955	29.1417	320.049
T2	Trial     9	C1	0:48:00-0:49:00	4.89127	148	16.84	0	0	149	43.08	-0.684698	-63.6585	-17.1175	293.085
T2	Trial     9	C1	0:49:00-0:50:00	5.08753	144	17.04	0	0	143	42.96	2.57094	-136.87	64.2734	305.252
T3	Trial     2	A2	0:00:00-0:01:00	2.56895	103	8.24	0	0	104	51.52	-2.40432	23.1405	-60.108	153.521
T3	Trial     2	A2	0:01:00-0:02:00	1.33897	63	3.8	0	0	64	56.2	0.890382	-17.6408	22.2596	80.3384
T3	Trial     2	A2	0:02:00-0:03:00	1.5854	61	4.48	0	0	62	55.52	4.54804	453.382	113.701	95.1238
T3	Trial     2	A2	0:03:00-0:04:00	2.9821	98	8.92	0	0	100	51	0.249724	11.3361	6.2431	178.688
T3	Trial     2	A2	0:04:00-0:05:00	2.23954	81	6.6	0	0	82	53.4	0.974499	467.054	24.3625	134.372
T3	Trial     2	A2	0:05:00-0:06:00	2.19734	83	5.96	0	0	84	54.04	-3.74488	43.5941	-93.6219	131.841
T3	Trial     2	A2	0:06:00-0:07:00	3.75031	127	12.2	0	0	128	47.72	-2.59844	-170.013	-64.961	224.719
T3	Trial     2	A2	0:07:00-0:08:00	2.79674	118	9.68	0	0	118	50.32	-3.16285	-9.73264	-79.0712	167.804
T3	Trial     2	A2	0:08:00-0:09:00	1.91686	82	6.04	0	0	83	53.88	-2.9893	-112.106	-74.7324	114.858
T3	Trial     2	A2	0:09:00-0:10:00	2.79998	90	8	0	0	91	52	0.577545	30.1988	14.4386	167.999
T3	Trial     2	A2	0:10:00-0:11:00	2.61613	92	7.28	0	0	92	52.72	1.2736	93.0009	31.8401	156.968
T3	Trial     2	A2	0:11:00-0:12:00	2.32867	108	7.12	0	0	110	52.8	-0.0947452	-160.979	-2.36863	139.534
T3	Trial     2	A2	0:12:00-0:13:00	1.83864	58	3.76	0	0	59	56.24	1.09108	-136.991	27.2771	110.318
T3	Trial     2	A2	0:13:00-0:14:00	1.53215	68	4	0	0	69	56	2.87317	-149.785	71.8292	91.929
T3	Trial     2	A2	0:14:00-0:15:00	1.79517	61	4.44	0	0	63	55.48	5.16634	362.884	129.158	107.567
T3	Trial     2	A2	0:15:00-0:16:00	1.3952	51	2.72	0	0	52	57.28	3.70306	53.6488	92.5764	83.7122
T3	Trial     2	A2	0:16:00-0:17:00	1.70173	67	4.6	0	0	69	55.32	2.87076	424.893	71.7689	101.967
T3	Trial     2	A2	0:17:00-0:18:00	1.88671	76	5.16	0	0	77	54.84	-3.64797	-80.9028	-91.1992	113.203
T3	Trial     2	A2	0:18:00-0:19:00	1.61422	73	5.24	0	0	74	54.76	1.40988	34.1439	35.2471	96.8531
T3	Trial     2	A2	0:19:00-0:20:00	1.98055	77	5.64	0	0	79	54.28	3.36465	-325.157	84.1163	118.674
T3	Trial     2	A2	0:20:00-0:21:00	1.37876	42	2.88	0	0	43	57.12	3.70768	617.091	92.692	82.7256
T3	Trial     2	A2	0:21:00-0:22:00	1.33531	43	3.24	0	0	43	56.76	2.058	183.751	51.4501	80.1185
T3	Trial     2	A2	0:22:00-0:23:00	1.83576	56	5.44	0	0	57	54.48	1.48545	-260.117	37.1361	109.999
T3	Trial     2	A2	0:23:00-0:24:00	2.65241	78	8.6	0	0	78	51.4	-1.57151	67.6806	-39.2876	159.144
T3	Trial     2	A2	0:24:00-0:25:00	1.75911	69	5.32	0	0	71	54.6	-1.44068	89.9384	-36.0169	105.406
T3	Trial     2	A2	0:25:00-0:26:00	2.36631	95	8.24	0	0	96	51.76	-0.638753	-461.077	-15.9688	141.979
T3	Trial     2	A2	0:26:00-0:27:00	1.95345	81	6.48	0	0	82	53.52	-2.38097	-114.26	-59.5241	117.207
T3	Trial     2	A2	0:27:00-0:28:00	1.51983	69	4.84	0	0	71	55.08	-0.78108	239.953	-19.527	91.0684
T3	Trial     2	A2	0:28:00-0:29:00	1.36635	54	3.88	0	0	55	56.12	3.68969	503.57	92.2423	81.9807
T3	Trial     2	A2	0:29:00-0:30:00	1.63895	74	5.44	0	0	75	54.56	-4.10607	-411.383	-102.652	98.3368
T3	Trial     2	A2	0:30:00-0:31:00	1.7262	65	4.36	0	0	64	55.56	-2.71144	-331.84	-67.786	103.434
T3	Trial     2	A2	0:31:00-0:32:00	1.40954	52	2.48	0	0	53	57.52	0.529936	137.936	13.2484	84.5722
T3	Trial     2	A2	0:32:00-0:33:00	1.54093	50	2.64	0	0	52	57.28	1.04124	273.818	26.031	92.3325
T3	Trial     2	A2	0:33:00-0:34:00	1.71064	70	4.28	0	0	71	55.72	3.72821	239.052	93.2053	102.639
T3	Trial     2	A2	0:34:00-0:35:00	2.06871	89	6.04	0	0	90	53.96	-1.27751	-203.354	-31.9377	124.122
T3	Trial     2	A2	0:35:00-0:36:00	1.76353	76	4.24	0	0	78	55.68	-0.264579	83.7005	-6.61447	105.671
T3	Trial     2	A2	0:36:00-0:37:00	1.94067	93	5.76	0	0	94	54.24	-0.129817	86.0981	-3.24543	116.44
T3	Trial     2	A2	0:37:00-0:38:00	2.26079	106	7.2	0	0	107	52.8	1.92143	-73.0993	48.0357	135.647
T3	Trial     2	A2	0:38:00-0:39:00	2.14159	97	6.68	0	0	99	53.24	1.81936	30.4524	45.484	128.324
T3	Trial     2	A2	0:39:00-0:40:00	2.22176	101	6.84	0	0	102	53.16	-2.37283	-330.377	-59.3207	133.306
T3	Trial     2	A2	0:40:00-0:41:00	2.01709	72	5	0	0	73	54.92	-0.821967	221.064	-20.5492	120.864
T3	Trial     2	A2	0:41:00-0:42:00	2.40672	89	7.72	0	0	90	52.28	-2.68275	-1149.58	-67.0689	144.403
T3	Trial     2	A2	0:42:00-0:43:00	2.27184	79	7.28	0	0	80	52.72	3.24777	644.111	81.1943	136.31
T3	Trial     2	A2	0:43:00-0:44:00	3.24628	85	10.04	0	0	84	49.88	-1.07165	510.801	-26.7913	194.517
T3	Trial     2	A2	0:44:00-0:45:00	3.49888	113	11.76	0	0	113	48.24	-2.61357	152.755	-65.3391	209.933
T3	Trial     2	A2	0:45:00-0:46:00	3.77829	119	12.32	0	0	118	47.68	-4.62852	-136.99	-115.713	226.697
T3	Trial     2	A2	0:46:00-0:47:00	3.2216	117	10.92	0	0	118	49	0.290031	402.42	7.25077	193.038
T3	Trial     2	A2	0:47:00-0:48:00	2.61412	113	9.52	0	0	114	50.48	-1.21789	244.415	-30.4472	156.847
T3	Trial     2	A2	0:48:00-0:49:00	2.01704	87	6.24	0	0	89	53.68	-4.9259	-239.467	-123.147	120.861
T3	Trial     2	A2	0:49:00-0:50:00	2.36992	102	7.8	0	0	101	52.2	-2.87473	-101.334	-71.8682	142.195
T3	Trial     2	A6	0:00:00-0:01:00	8.58804	148	25.56	0	0	148	34.2	0.433632	53.8517	10.8408	513.221
T3	Trial     2	A6	0:01:00-0:02:00	7.92231	148	24.12	0	0	149	35.88	1.31021	106.273	32.7551	475.338
T3	Trial     2	A6	0:02:00-0:03:00	10.7005	123	26.96	0	0	123	33.04	-0.422268	-1458.6	-10.5567	642.028
T3	Trial     2	A6	0:03:00-0:04:00	4.61888	84	11.96	0	0	85	47.96	4.20925	417.217	105.231	276.763
T3	Trial     2	A6	0:04:00-0:05:00	1.2851	42	3.08	0	0	43	56.92	3.42242	176.326	85.5606	77.1061
T3	Trial     2	A6	0:05:00-0:06:00	4.4572	87	12.12	0	0	87	47.88	2.8108	315.134	70.27	267.432
T3	Trial     2	A6	0:06:00-0:07:00	7.11729	150	20.96	0	0	150	38.96	-1.46494	-7.98108	-36.6235	426.468
T3	Trial     2	A6	0:07:00-0:08:00	3.17772	75	8.96	0	0	75	51.04	1.52636	372.155	38.1589	190.663
T3	Trial     2	A6	0:08:00-0:09:00	7.18136	146	21.76	0	0	145	38.16	-1.0631	48.4218	-26.5776	430.307
T3	Trial     2	A6	0:09:00-0:10:00	6.55518	144	20.56	0	0	143	39.44	-1.86519	191.914	-46.6299	393.311
T3	Trial     2	A6	0:10:00-0:11:00	3.80484	123	12.44	0	0	123	47.56	-3.1184	-253.058	-77.9601	228.291
T3	Trial     2	A6	0:11:00-0:12:00	3.14392	123	10.68	0	0	125	49.24	-1.05216	-268.453	-26.3041	188.383
T3	Trial     2	A6	0:12:00-0:13:00	4.13854	140	13.32	0	0	141	46.68	-1.43015	-116.564	-35.7537	248.313
T3	Trial     2	A6	0:13:00-0:14:00	8.08798	186	22.16	0	0	186	37.84	-1.04132	-47.8798	-26.033	485.279
T3	Trial     2	A6	0:14:00-0:15:00	7.20431	155	20.12	0	0	156	39.8	3.3934	-153.295	84.8351	431.682
T3	Trial     2	A6	0:15:00-0:16:00	11.1089	163	27.76	0	0	163	32.24	-1.96979	51.1952	-49.2447	666.534
T3	Trial     2	A6	0:16:00-0:17:00	8.09712	139	20.44	0	0	141	39.48	-3.69981	-187.632	-92.4953	485.179
T3	Trial     2	A6	0:17:00-0:18:00	4.73225	152	15.04	0	0	153	44.96	0.00198467	57.0225	0.0496168	283.935
T3	Trial     2	A6	0:18:00-0:19:00	10.7883	172	27.36	0	0	172	32.64	1.25068	88.6425	31.2671	647.3
T3	Trial     2	A6	0:19:00-0:20:00	10.4698	157	26.28	0	0	158	33.64	1.69975	144.148	42.4939	627.348
T3	Trial     2	A6	0:20:00-0:21:00	9.42152	135	23.16	0	0	135	36.84	-0.965114	-155.549	-24.1279	565.291
T3	Trial     2	A6	0:21:00-0:22:00	9.52609	120	23.36	0	0	119	36.64	-0.710088	128.24	-17.7522	571.565
T3	Trial     2	A6	0:22:00-0:23:00	8.32507	123	21.84	0	0	124	38.08	-1.24807	-160.296	-31.2017	498.838
T3	Trial     2	A6	0:23:00-0:24:00	9.49008	126	23.88	0	0	126	36.12	1.87105	124.838	46.7762	569.405
T3	Trial     2	A6	0:24:00-0:25:00	7.64478	121	20.88	0	0	122	39.04	1.15433	-175.695	28.8582	458.075
T3	Trial     2	A6	0:25:00-0:26:00	6.86952	129	19.48	0	0	130	40.52	-0.383618	-280.499	-9.59046	412.171
T3	Trial     2	A6	0:26:00-0:27:00	5.81904	130	17.44	0	0	131	42.56	0.720431	-52.8578	18.0108	349.142
T3	Trial     2	A6	0:27:00-0:28:00	6.75677	140	19.32	0	0	141	40.6	-1.57341	-82.0332	-39.3353	404.866
T3	Trial     2	A6	0:28:00-0:29:00	3.88376	102	11.48	0	0	102	48.52	2.68603	163.039	67.1508	233.026
T3	Trial     2	A6	0:29:00-0:30:00	5.72607	147	17.92	0	0	147	42.08	1.43885	-38.3772	35.9713	343.564
T3	Trial     2	A6	0:30:00-0:31:00	5.29982	118	14.92	0	0	119	45	0.170768	-225.917	4.2692	317.565
T3	Trial     2	A6	0:31:00-0:32:00	8.40809	117	20.16	0	0	118	39.84	-2.97896	-381.523	-74.4739	504.485
T3	Trial     2	A6	0:32:00-0:33:00	4.54187	148	13.92	0	0	148	46	0.704146	194.164	17.6037	272.149
T3	Trial     2	A6	0:33:00-0:34:00	6.63955	143	17.48	0	0	143	42.52	-0.829226	-88.4407	-20.7306	398.373
T3	Trial     2	A6	0:34:00-0:35:00	9.94659	185	28.48	0	0	184	31.52	-1.95382	132.022	-48.8455	596.795
T3	Trial     2	A6	0:35:00-0:36:00	8.87902	171	24.04	0	0	171	35.88	-1.30909	-133.868	-32.7272	532.031
T3	Trial     2	A6	0:36:00-0:37:00	8.76727	171	24.24	0	0	170	35.76	0.00872829	252.316	0.218207	526.036
T3	Trial     2	A6	0:37:00-0:38:00	11.3264	195	30.72	0	0	195	29.28	-2.75995	61.0854	-68.9988	679.587
T3	Trial     2	A6	0:38:00-0:39:00	9.49703	178	28	0	0	178	31.92	-4.35529	-171.743	-108.882	569.062
T3	Trial     2	A6	0:39:00-0:40:00	9.22584	166	25.52	0	0	166	34.48	-2.53805	-35.5376	-63.4513	553.55
T3	Trial     2	A6	0:40:00-0:41:00	8.82201	146	22.28	0	0	146	37.64	3.88805	283.28	97.2013	528.615
T3	Trial     2	A6	0:41:00-0:42:00	7.78048	124	20.64	0	0	125	39.36	2.427	-97.5284	60.6751	466.829
T3	Trial     2	A6	0:42:00-0:43:00	7.99949	136	22.2	0	0	137	37.8	-2.90504	39.3252	-72.6261	479.97
T3	Trial     2	A6	0:43:00-0:44:00	8.29319	153	22.84	0	0	153	37.08	-4.06401	-343.403	-101.6	496.928
T3	Trial     2	A6	0:44:00-0:45:00	6.96746	148	19.76	0	0	148	40.24	-0.577362	-32.0824	-14.434	418.048
T3	Trial     2	A6	0:45:00-0:46:00	6.97338	145	20.24	0	0	146	39.76	-0.678885	-52.0861	-16.9721	418.403
T3	Trial     2	A6	0:46:00-0:47:00	6.77026	172	20.04	0	0	172	39.88	-1.41452	-224.236	-35.3631	405.674
T3	Trial     2	A6	0:47:00-0:48:00	6.62608	181	19.96	0	0	181	40.04	4.21576	147.579	105.394	397.565
T3	Trial     2	A6	0:48:00-0:49:00	7.55645	159	22.36	0	0	160	37.56	-4.81008	-132.256	-120.252	452.783
T3	Trial     2	A6	0:49:00-0:50:00	7.1435	190	21.48	0	0	191	38.52	-0.0635894	82.6006	-1.58973	428.61
T3	Trial     2	B3	0:00:00-0:01:00	6.45893	257	25.24	0	0	257	34.52	0.0897626	123.368	2.24406	385.985
T3	Trial     2	B3	0:01:00-0:02:00	5.31045	216	20.16	0	0	216	39.84	3.44843	329.004	86.2108	318.627
T3	Trial     2	B3	0:02:00-0:03:00	4.89921	194	17.68	0	0	194	42.32	-2.13437	-403.161	-53.3592	293.953
T3	Trial     2	B3	0:03:00-0:04:00	4.94476	190	17.6	0	0	190	42.32	2.81398	-137.634	70.3494	296.29
T3	Trial     2	B3	0:04:00-0:05:00	5.08894	214	19	0	0	215	41	2.09371	178.818	52.3426	305.336
T3	Trial     2	B3	0:05:00-0:06:00	6.05312	233	23.08	0	0	234	36.92	-2.48153	74.1471	-62.0383	363.187
T3	Trial     2	B3	0:06:00-0:07:00	5.70287	214	22.16	0	0	216	37.76	-0.0819683	122.694	-2.04921	341.716
T3	Trial     2	B3	0:07:00-0:08:00	5.05206	208	19.28	0	0	209	40.72	1.32579	118.201	33.1449	303.124
T3	Trial     2	B3	0:08:00-0:09:00	5.35228	220	20.96	0	0	219	38.96	2.51875	619.246	62.9688	320.708
T3	Trial     2	B3	0:09:00-0:10:00	5.2422	209	20.12	0	0	210	39.88	2.70447	103.115	67.6118	314.532
T3	Trial     2	B3	0:10:00-0:11:00	3.04293	151	11.6	0	0	152	48.4	-1.59293	-209.222	-39.8233	182.576
T3	Trial     2	B3	0:11:00-0:12:00	4.79198	232	21.6	0	0	232	38.32	0.94104	-71.2954	23.526	287.135
T3	Trial     2	B3	0:12:00-0:13:00	7.0032	260	28.48	0	0	261	31.52	1.42235	-76.7255	35.5587	420.192
T3	Trial     2	B3	0:13:00-0:14:00	7.18265	235	27.08	0	0	236	32.92	4.33949	152.14	108.487	430.959
T3	Trial     2	B3	0:14:00-0:15:00	6.69511	207	25.32	0	0	208	34.6	-1.92708	-86.5745	-48.1771	401.171
T3	Trial     2	B3	0:15:00-0:16:00	4.47822	186	17.52	0	0	187	42.48	-2.31788	-22.8517	-57.9469	268.693
T3	Trial     2	B3	0:16:00-0:17:00	6.94608	213	26.28	0	0	212	33.64	-3.39659	12.9813	-84.9148	416.209
T3	Trial     2	B3	0:17:00-0:18:00	7.05512	216	27.92	0	0	216	32.08	-4.91189	-226.768	-122.797	423.307
T3	Trial     2	B3	0:18:00-0:19:00	6.82069	212	25.84	0	0	212	34.16	-5.29554	-96.3803	-132.388	409.242
T3	Trial     2	B3	0:19:00-0:20:00	4.22704	190	15.28	0	0	190	44.64	-3.42166	-323.75	-85.5415	253.284
T3	Trial     2	B3	0:20:00-0:21:00	1.34115	42	2.96	0	0	42	57.04	1.28973	317.91	32.2432	80.4693
T3	Trial     2	B3	0:21:00-0:22:00	1.32417	39	2.6	0	0	40	57.4	1.28059	159.146	32.0147	79.45
T3	Trial     2	B3	0:22:00-0:23:00	1.09138	26	2.04	0	0	28	57.88	-0.248936	-823.497	-6.22341	65.3952
T3	Trial     2	B3	0:23:00-0:24:00	1.23939	30	2.32	0	0	31	57.68	3.37819	-945.432	84.4547	74.3636
T3	Trial     2	B3	0:24:00-0:25:00	1.60832	45	3.92	0	0	47	56	0.301901	-254.099	7.54752	96.3704
T3	Trial     2	B3	0:25:00-0:26:00	1.59951	54	3.96	0	0	55	56.04	-1.4321	258.829	-35.8024	95.9706
T3	Trial     2	B3	0:26:00-0:27:00	1.58098	56	3.76	0	0	57	56.24	-2.43433	-1.84584	-60.8583	94.859
T3	Trial     2	B3	0:27:00-0:28:00	1.28255	44	2.8	0	0	46	57.12	2.38942	338.642	59.7355	76.8502
T3	Trial     2	B3	0:28:00-0:29:00	1.48278	57	3.84	0	0	58	56.16	0.569869	523.579	14.2467	88.9669
T3	Trial     2	B3	0:29:00-0:30:00	1.85842	59	4.6	0	0	60	55.4	-2.11261	-264.418	-52.8151	111.505
T3	Trial     2	B3	0:30:00-0:31:00	2.6484	109	8	0	0	110	51.92	-0.322138	-243.011	-8.05345	158.692
T3	Trial     2	B3	0:31:00-0:32:00	3.87137	176	14.4	0	0	175	45.6	-2.66344	-334.502	-66.5859	232.282
T3	Trial     2	B3	0:32:00-0:33:00	6.76971	214	25.48	0	0	214	34.44	-4.46507	-162.824	-111.627	405.641
T3	Trial     2	B3	0:33:00-0:34:00	6.24693	190	22.76	0	0	190	37.24	0.0369139	-86.527	0.922847	374.816
T3	Trial     2	B3	0:34:00-0:35:00	3.42968	156	11.76	0	0	157	48.24	-1.48818	290.726	-37.2044	205.781
T3	Trial     2	B3	0:35:00-0:36:00	6.96077	188	24.64	0	0	189	35.28	1.45162	51.0275	36.2904	417.089
T3	Trial     2	B3	0:36:00-0:37:00	1.89084	80	5.08	0	0	81	54.92	2.62239	404.161	65.5597	113.45
T3	Trial     2	B3	0:37:00-0:38:00	2.43798	118	7.48	0	0	117	52.52	4.20465	193.229	105.116	146.279
T3	Trial     2	B3	0:38:00-0:39:00	3.04201	152	10.08	0	0	154	49.84	0.845283	515.567	21.1321	182.277
T3	Trial     2	B3	0:39:00-0:40:00	4.09509	163	14.6	0	0	164	45.4	2.13976	307.305	53.4941	245.706
